lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,2b630361f6ea4bc0b27217dd9fba72ce,2020-10-20_23-43-48,1603237428,156.85537672042847,156.85537672042847,407,d83e38022e39,192.168.99.4,156.85537672042847,0,1,00061,"61_hypercubes=heat_para_11d,seed=3",3414380,29.815940856933594,150,64.40550780296326,300.0,1.2700175658861796,0.0015798690969434878,0.8963521059354146,0.0301686733836929,0.03974756718270299,1.2700175658861796,0.0015798690969434878,0.8963521059354146,0.0301686733836929,0,0,0,0,127.02941513061523,250,127.02941513061523,250.0,1442.7727236328126,5.8078897800445555,24.417614547729492,1.475838753938675,2.4099563855067077,1442.7727236328126,5.8078897800445555,24.417614547729492,1.475838753938675,0,0,0,0,34.58956694602966,150,34.58956694602966,150.0,1181.3563484700521,0.9413300712903341,32.232026240030926,0.9701100560029348,0.9702216609055552
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,2b630361f6ea4bc0b27217dd9fba72ce,2020-10-20_23-46-25,1603237585,156.77650904655457,313.63188576698303,407,d83e38022e39,192.168.99.4,313.63188576698303,0,2,00061,"61_hypercubes=heat_para_11d,seed=3",3414380,29.494518995285034,150,93.90002679824829,450.0,0.6937648443380992,0.0010140744255234797,0.6637370403607686,0.02338883207490047,0.0318445352536896,0.6937648443380992,0.0010140744255234797,0.6637370403607686,0.02338883207490047,0,0,0,0,127.273268699646,250,254.30268383026123,500.0,1389.6368159179688,6.330096223831177,24.215902168273924,1.543117730140686,2.5159682477788103,1389.6368159179688,5.8078897800445555,24.215902168273924,1.475838753938675,0,1,0,1,34.58956694602966,150,34.58956694602966,150.0,1181.3563484700521,0.9413300712903341,32.232026240030926,0.9701100560029348,0.9702216609055552
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,2b630361f6ea4bc0b27217dd9fba72ce,2020-10-20_23-49-02,1603237742,156.77295994758606,470.4048457145691,407,d83e38022e39,192.168.99.4,470.4048457145691,0,3,00061,"61_hypercubes=heat_para_11d,seed=3",3414380,29.632216215133667,150,123.53224301338196,600.0,0.5939407054583231,0.0008056978943447271,0.613463221391042,0.02115678398559491,0.028384818025570063,0.5939407054583231,0.0008056978943447271,0.613463221391042,0.02115678398559491,0,0,0,0,127.13110852241516,250,381.4337923526764,750.0,1392.148462890625,6.338701444625855,24.235503883361815,1.5434884443283081,2.5176777880868424,1389.6368159179688,5.8078897800445555,24.215902168273924,1.475838753938675,1,2,1,2,34.58956694602966,150,34.58956694602966,150.0,1181.3563484700521,0.9413300712903341,32.232026240030926,0.9701100560029348,0.9702216609055552
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,2b630361f6ea4bc0b27217dd9fba72ce,2020-10-20_23-51-39,1603237899,156.69904899597168,627.1038947105408,407,d83e38022e39,192.168.99.4,627.1038947105408,0,4,00061,"61_hypercubes=heat_para_11d,seed=3",3414380,29.572789192199707,150,153.10503220558167,750.0,0.5603335738182068,0.0008157782043175151,0.595332141717275,0.020824169541398683,0.028561831249370465,0.5603335738182068,0.0008056978943447271,0.595332141717275,0.020824169541398683,0,1,0,0,127.11811709403992,250,508.5519094467163,1000.0,1391.2195483398436,6.336125759124756,24.23528845214844,1.5433453159332275,2.517166216030391,1389.6368159179688,5.8078897800445555,24.215902168273924,1.475838753938675,2,3,2,3,34.58956694602966,150,34.58956694602966,150.0,1181.3563484700521,0.9413300712903341,32.232026240030926,0.9701100560029348,0.9702216609055552
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,2b630361f6ea4bc0b27217dd9fba72ce,2020-10-20_23-54-15,1603238055,156.48040986061096,783.5843045711517,407,d83e38022e39,192.168.99.4,783.5843045711517,0,5,00061,"61_hypercubes=heat_para_11d,seed=3",3414380,29.25287365913391,150,182.35790586471558,900.0,0.5699960307280223,0.0006881183362565935,0.5952334960301717,0.019818179905414582,0.02623200976396192,0.5603335738182068,0.0006881183362565935,0.5952334960301717,0.019818179905414582,1,0,0,0,127.21860861778259,250,635.7705180644989,1250.0,1393.1413071289062,6.337234228134156,24.238840438842775,1.543237630367279,2.5173863883270196,1389.6368159179688,5.8078897800445555,24.215902168273924,1.475838753938675,3,4,3,4,34.58956694602966,150,34.58956694602966,150.0,1181.3563484700521,0.9413300712903341,32.232026240030926,0.9701100560029348,0.9702216609055552
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,2b630361f6ea4bc0b27217dd9fba72ce,2020-10-20_23-56-52,1603238212,156.4738790988922,940.058183670044,407,d83e38022e39,192.168.99.4,940.058183670044,0,6,00061,"61_hypercubes=heat_para_11d,seed=3",3414380,29.358290672302246,150,211.71619653701782,1050.0,0.6346806387106577,0.001039788432729741,0.6343209222952525,0.023055890997250875,0.032245750615077035,0.5603335738182068,0.0006881183362565935,0.5952334960301717,0.019818179905414582,2,1,1,1,127.10696935653687,250,762.8774874210358,1500.0,1393.4317895507813,6.338733219146729,24.239115905761718,1.543529769897461,2.5176840983623676,1389.6368159179688,5.8078897800445555,24.215902168273924,1.475838753938675,4,5,4,5,34.58956694602966,150,34.58956694602966,150.0,1181.3563484700521,0.9413300712903341,32.232026240030926,0.9701100560029348,0.9702216609055552
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,2b630361f6ea4bc0b27217dd9fba72ce,2020-10-20_23-59-29,1603238369,156.77493500709534,1096.8331186771393,407,d83e38022e39,192.168.99.4,1096.8331186771393,0,7,00061,"61_hypercubes=heat_para_11d,seed=3",3414380,29.643955945968628,150,241.36015248298645,1200.0,0.5641757889588674,0.0011328390062165757,0.5933877344926198,0.022716855456431706,0.033657673808755346,0.5603335738182068,0.0006881183362565935,0.5933877344926198,0.019818179905414582,3,2,0,2,127.12143754959106,250,889.9989249706268,1750.0,1392.6951904296875,6.337093788146973,24.24154467010498,1.5434009718894959,2.5173584941654563,1389.6368159179688,5.8078897800445555,24.215902168273924,1.475838753938675,5,6,5,6,34.58956694602966,150,34.58956694602966,150.0,1181.3563484700521,0.9413300712903341,32.232026240030926,0.9701100560029348,0.9702216609055552
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,2b630361f6ea4bc0b27217dd9fba72ce,2020-10-21_00-02-05,1603238525,156.48279881477356,1253.3159174919128,407,d83e38022e39,192.168.99.4,1253.3159174919128,0,8,00061,"61_hypercubes=heat_para_11d,seed=3",3414380,29.380910634994507,150,270.74106311798096,1350.0,0.678915559053421,0.0012994465984714528,0.6559556265672047,0.024946819605926672,0.036047837639329394,0.5603335738182068,0.0006881183362565935,0.5933877344926198,0.019818179905414582,4,3,1,3,127.0923924446106,250,1017.0913174152374,2000.0,1392.6059790039062,6.342070861816406,24.239801109313966,1.5438423838615418,2.5183468509751403,1389.6368159179688,5.8078897800445555,24.215902168273924,1.475838753938675,6,7,6,7,34.58956694602966,150,34.58956694602966,150.0,1181.3563484700521,0.9413300712903341,32.232026240030926,0.9701100560029348,0.9702216609055552
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,2b630361f6ea4bc0b27217dd9fba72ce,2020-10-21_00-04-42,1603238682,156.94995212554932,1410.2658696174622,407,d83e38022e39,192.168.99.4,1410.2658696174622,0,9,00061,"61_hypercubes=heat_para_11d,seed=3",3414380,29.73195719718933,150,300.4730203151703,1500.0,0.4045767605304718,0.00048096932431993385,0.4995402479171753,0.016664860223730406,0.021931012843002345,0.4045767605304718,0.00048096932431993385,0.4995402479171753,0.016664860223730406,0,0,0,0,127.20942568778992,250,1144.3007431030273,2250.0,1391.4867099609376,6.341117752075196,24.23677941894531,1.5437439613342285,2.518157610650135,1389.6368159179688,5.8078897800445555,24.215902168273924,1.475838753938675,7,8,7,8,34.58956694602966,150,34.58956694602966,150.0,1181.3563484700521,0.9413300712903341,32.232026240030926,0.9701100560029348,0.9702216609055552
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,2b630361f6ea4bc0b27217dd9fba72ce,2020-10-21_00-07-19,1603238839,156.8655984401703,1567.1314680576324,407,d83e38022e39,192.168.99.4,1567.1314680576324,0,10,00061,"61_hypercubes=heat_para_11d,seed=3",3414380,29.70863389968872,150,330.181654214859,1650.0,0.35100586851437887,0.0004115765980289628,0.46302455802758535,0.015394334060450396,0.020287350690244472,0.35100586851437887,0.0004115765980289628,0.46302455802758535,0.015394334060450396,0,0,0,0,127.14767909049988,250,1271.4484221935272,2500.0,1390.4918549804688,6.335988742828369,24.21861597442627,1.543249228477478,2.5171389995048683,1389.6368159179688,5.8078897800445555,24.215902168273924,1.475838753938675,8,9,8,9,34.58956694602966,150,34.58956694602966,150.0,1181.3563484700521,0.9413300712903341,32.232026240030926,0.9701100560029348,0.9702216609055552
