lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,d8296f4f43ce42e197441f60cac3c024,2020-10-21_00-17-29,1603239449,174.02992415428162,174.02992415428162,380,d83e38022e39,192.168.99.4,174.02992415428162,0,1,00062,"62_hypercubes=heat_para_12d,seed=3",4753964,35.79809331893921,150,75.38272404670715,300.0,1.7403153999646506,0.00193649040767923,1.0517775368690492,0.03238842263817787,0.04400557246166933,1.7403153999646506,0.00193649040767923,1.0517775368690492,0.03238842263817787,0,0,0,0,138.2190592288971,250,138.2190592288971,250.0,1938.7627080078125,5.856654332399368,28.181790306091308,1.4894480154514314,2.4200525474458954,1938.7627080078125,5.856654332399368,28.181790306091308,1.4894480154514314,0,0,0,0,39.584630727767944,150,39.584630727767944,150.0,1557.2347631835937,0.9292128543059032,36.835986938476566,0.9637859439849854,0.9639568736753232
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,d8296f4f43ce42e197441f60cac3c024,2020-10-21_00-20-24,1603239624,174.28840708732605,348.31833124160767,380,d83e38022e39,192.168.99.4,348.31833124160767,0,2,00062,"62_hypercubes=heat_para_12d,seed=3",4753964,35.88024163246155,150,111.2629656791687,450.0,1.4500798749923707,0.001268014879897237,0.9518379211425781,0.02735843981305758,0.03560919656348956,1.4500798749923707,0.001268014879897237,0.9518379211425781,0.02735843981305758,0,0,0,0,138.39621877670288,250,276.6152780056,500.0,1876.0346831054687,6.363211513519287,28.014215324401857,1.5552236061096192,2.522540686197011,1876.0346831054687,5.856654332399368,28.014215324401857,1.4894480154514314,0,1,0,1,39.584630727767944,150,39.584630727767944,150.0,1557.2347631835937,0.9292128543059032,36.835986938476566,0.9637859439849854,0.9639568736753232
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,d8296f4f43ce42e197441f60cac3c024,2020-10-21_00-23-18,1603239798,174.34771633148193,522.6660475730896,380,d83e38022e39,192.168.99.4,522.6660475730896,0,3,00062,"62_hypercubes=heat_para_12d,seed=3",4753964,35.92926788330078,150,147.19223356246948,600.0,1.5584781161944072,0.0016623402146312097,1.0124597454071045,0.030695993925134342,0.04077180661475782,1.4500798749923707,0.001268014879897237,0.9518379211425781,0.02735843981305758,1,1,1,1,138.40744972229004,250,415.02272772789,750.0,1874.9306328125,6.352595750808716,28.016229804992676,1.554372507095337,2.5204356271900132,1874.9306328125,5.856654332399368,28.014215324401857,1.4894480154514314,0,2,1,2,39.584630727767944,150,39.584630727767944,150.0,1557.2347631835937,0.9292128543059032,36.835986938476566,0.9637859439849854,0.9639568736753232
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,d8296f4f43ce42e197441f60cac3c024,2020-10-21_00-26-12,1603239972,174.00517964363098,696.6712272167206,380,d83e38022e39,192.168.99.4,696.6712272167206,0,4,00062,"62_hypercubes=heat_para_12d,seed=3",4753964,35.6160454750061,150,182.8082790374756,750.0,1.2535144845644632,0.0011822522773096958,0.8910056575139363,0.02612228504071633,0.034383895609859216,1.2535144845644632,0.0011822522773096958,0.8910056575139363,0.02612228504071633,0,0,0,0,138.3771014213562,250,553.3998291492462,1000.0,1874.0379975585938,6.354739078521728,28.014555168151855,1.5544197058677673,2.5208607812653456,1874.0379975585938,5.856654332399368,28.014215324401857,1.4894480154514314,0,3,2,3,39.584630727767944,150,39.584630727767944,150.0,1557.2347631835937,0.9292128543059032,36.835986938476566,0.9637859439849854,0.9639568736753232
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,d8296f4f43ce42e197441f60cac3c024,2020-10-21_00-29-06,1603240146,173.81780576705933,870.4890329837799,380,d83e38022e39,192.168.99.4,870.4890329837799,0,5,00062,"62_hypercubes=heat_para_12d,seed=3",4753964,35.51135015487671,150,218.3196291923523,900.0,0.7013560998439788,0.0008029138634447009,0.6660189358393351,0.020593499367435774,0.028335734743336036,0.7013560998439788,0.0008029138634447009,0.6660189358393351,0.020593499367435774,0,0,0,0,138.29391407966614,250,691.6937432289124,1250.0,1874.9423852539062,6.356246631622314,28.009944480895996,1.554462664604187,2.5211597790743676,1874.0379975585938,5.856654332399368,28.009944480895996,1.4894480154514314,1,4,0,4,39.584630727767944,150,39.584630727767944,150.0,1557.2347631835937,0.9292128543059032,36.835986938476566,0.9637859439849854,0.9639568736753232
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,d8296f4f43ce42e197441f60cac3c024,2020-10-21_00-32-00,1603240320,174.00113606452942,1044.4901690483093,380,d83e38022e39,192.168.99.4,1044.4901690483093,0,6,00062,"62_hypercubes=heat_para_12d,seed=3",4753964,35.661555767059326,150,253.98118495941162,1050.0,0.7964794298013051,0.0008162829439000537,0.7057879559199015,0.021225558817386626,0.028570665793783204,0.7013560998439788,0.0008029138634447009,0.6660189358393351,0.020593499367435774,1,1,1,1,138.32656240463257,250,830.0203056335449,1500.0,1877.5375991210938,6.363081306457519,28.018973609924316,1.5551508049964904,2.522514877351077,1874.0379975585938,5.856654332399368,28.009944480895996,1.4894480154514314,2,5,1,5,39.584630727767944,150,39.584630727767944,150.0,1557.2347631835937,0.9292128543059032,36.835986938476566,0.9637859439849854,0.9639568736753232
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,d8296f4f43ce42e197441f60cac3c024,2020-10-21_00-34-54,1603240494,173.97368836402893,1218.4638574123383,380,d83e38022e39,192.168.99.4,1218.4638574123383,0,7,00062,"62_hypercubes=heat_para_12d,seed=3",4753964,35.58580231666565,150,289.56698727607727,1200.0,0.6129222321510315,0.0006401283231874307,0.6199029763539632,0.018720679506659507,0.025300757363909698,0.6129222321510315,0.0006401283231874307,0.6199029763539632,0.018720679506659507,0,0,0,0,138.37784385681152,250,968.3981494903564,1750.0,1876.8871079101561,6.358337759017944,28.014944679260253,1.5544812598228455,2.5215744603358323,1874.0379975585938,5.856654332399368,28.009944480895996,1.4894480154514314,3,6,2,6,39.584630727767944,150,39.584630727767944,150.0,1557.2347631835937,0.9292128543059032,36.835986938476566,0.9637859439849854,0.9639568736753232
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,d8296f4f43ce42e197441f60cac3c024,2020-10-21_00-37-48,1603240668,174.3803277015686,1392.8441851139069,380,d83e38022e39,192.168.99.4,1392.8441851139069,0,8,00062,"62_hypercubes=heat_para_12d,seed=3",4753964,35.94591784477234,150,325.5129051208496,1350.0,0.6213995675245921,0.000695383765657122,0.6282421986262003,0.01928823803861936,0.026370130178994602,0.6129222321510315,0.0006401283231874307,0.6199029763539632,0.018720679506659507,1,1,1,1,138.42203974723816,250,1106.8201892375946,2000.0,1878.1936484375,6.354335605621338,28.021020515441894,1.5544499058723449,2.520780753183691,1874.0379975585938,5.856654332399368,28.009944480895996,1.4894480154514314,4,7,3,7,39.584630727767944,150,39.584630727767944,150.0,1557.2347631835937,0.9292128543059032,36.835986938476566,0.9637859439849854,0.9639568736753232
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,d8296f4f43ce42e197441f60cac3c024,2020-10-21_00-40-42,1603240842,174.21141290664673,1567.0555980205536,380,d83e38022e39,192.168.99.4,1567.0555980205536,0,9,00062,"62_hypercubes=heat_para_12d,seed=3",4753964,35.75901961326599,150,361.2719247341156,1500.0,0.5208140103022257,0.000527732118498534,0.5702416729927063,0.017052746737996737,0.022972420823642727,0.5208140103022257,0.000527732118498534,0.5702416729927063,0.017052746737996737,0,0,0,0,138.44030737876892,250,1245.2604966163635,2250.0,1876.1164936523437,6.362636728286743,28.019056449890137,1.554861288547516,2.522426753800146,1874.0379975585938,5.856654332399368,28.009944480895996,1.4894480154514314,5,8,4,8,39.584630727767944,150,39.584630727767944,150.0,1557.2347631835937,0.9292128543059032,36.835986938476566,0.9637859439849854,0.9639568736753232
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,d8296f4f43ce42e197441f60cac3c024,2020-10-21_00-43-36,1603241016,173.94312858581543,1740.998726606369,380,d83e38022e39,192.168.99.4,1740.998726606369,0,10,00062,"62_hypercubes=heat_para_12d,seed=3",4753964,35.52247714996338,150,396.794401884079,1650.0,0.7874991778532664,0.0007174793421290815,0.6925164441267649,0.02010444218913714,0.026785804862446853,0.5208140103022257,0.000527732118498534,0.5702416729927063,0.017052746737996737,1,1,1,1,138.40866112709045,250,1383.669157743454,2500.0,1875.8469375,6.348827861785889,28.000048728942872,1.5538441891670227,2.5196880485063797,1874.0379975585938,5.856654332399368,28.000048728942872,1.4894480154514314,6,9,0,9,39.584630727767944,150,39.584630727767944,150.0,1557.2347631835937,0.9292128543059032,36.835986938476566,0.9637859439849854,0.9639568736753232
