lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,2b755e155fb141c0bcbc71ffcf386791,2020-10-21_01-12-03,1603242723,222.24032926559448,222.24032926559448,411,d83e38022e39,192.168.99.4,222.24032926559448,0,1,00064,"64_hypercubes=heat_para_14d,seed=3",8576732,51.1897497177124,150,106.51414680480957,300.0,3.922297353744507,0.0028756203750769298,1.5900661023457845,0.039364301885167756,0.053624811189196084,3.922297353744507,0.0028756203750769298,1.5900661023457845,0.039364301885167756,0,0,0,0,171.03622484207153,250,171.03622484207153,250.0,3306.6772373046874,5.784321678876877,36.54478012084961,1.4984101142883302,2.4050616788092727,3306.6772373046874,5.784321678876877,36.54478012084961,1.4984101142883302,0,0,0,0,55.32439708709717,150,55.32439708709717,150.0,2666.55515625,0.9564157478014628,47.956104303995765,0.9778826610247294,0.9779651056154626
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,2b755e155fb141c0bcbc71ffcf386791,2020-10-21_01-15-45,1603242945,222.188884973526,444.4292142391205,411,d83e38022e39,192.168.99.4,444.4292142391205,0,2,00064,"64_hypercubes=heat_para_14d,seed=3",8576732,51.11955666542053,150,157.6337034702301,450.0,2.342128636042277,0.0014778963577312728,1.2134535185496012,0.028566504716873168,0.038443417612528584,2.342128636042277,0.0014778963577312728,1.2134535185496012,0.028566504716873168,0,0,0,0,171.05321836471558,250,342.0894432067871,500.0,3197.7892412109377,6.269720998764038,36.309643600463865,1.5628960041999818,2.5039410933095128,3197.7892412109377,5.784321678876877,36.309643600463865,1.4984101142883302,0,1,0,1,55.32439708709717,150,55.32439708709717,150.0,2666.55515625,0.9564157478014628,47.956104303995765,0.9778826610247294,0.9779651056154626
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,2b755e155fb141c0bcbc71ffcf386791,2020-10-21_01-19-28,1603243168,222.39532256126404,666.8245368003845,411,d83e38022e39,192.168.99.4,666.8245368003845,0,3,00064,"64_hypercubes=heat_para_14d,seed=3",8576732,51.230600118637085,150,208.8643035888672,600.0,2.4938691329956053,0.0022969439408431452,1.2647900303204855,0.03324219430486361,0.047926443023065514,2.342128636042277,0.0014778963577312728,1.2134535185496012,0.028566504716873168,1,1,1,1,171.14789938926697,250,513.2373425960541,750.0,3199.0091884765625,6.269024116516113,36.31858638000488,1.5629825205802919,2.5038019323652807,3197.7892412109377,5.784321678876877,36.309643600463865,1.4984101142883302,1,2,1,2,55.32439708709717,150,55.32439708709717,150.0,2666.55515625,0.9564157478014628,47.956104303995765,0.9778826610247294,0.9779651056154626
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,2b755e155fb141c0bcbc71ffcf386791,2020-10-21_01-23-10,1603243390,222.02177262306213,888.8463094234467,411,d83e38022e39,192.168.99.4,888.8463094234467,0,4,00064,"64_hypercubes=heat_para_14d,seed=3",8576732,50.88687586784363,150,259.7511794567108,750.0,1.740901407400767,0.0013666935521177948,1.0502567211786906,0.02603817865252495,0.03696881864649985,1.740901407400767,0.0013666935521177948,1.0502567211786906,0.02603817865252495,0,0,0,0,171.1207616329193,250,684.3581042289734,1000.0,3197.788677734375,6.274789352416992,36.315791198730466,1.5630103769302368,2.504952964112698,3197.788677734375,5.784321678876877,36.309643600463865,1.4984101142883302,0,3,2,3,55.32439708709717,150,55.32439708709717,150.0,2666.55515625,0.9564157478014628,47.956104303995765,0.9778826610247294,0.9779651056154626
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,2b755e155fb141c0bcbc71ffcf386791,2020-10-21_01-26-52,1603243612,222.28408432006836,1111.130393743515,411,d83e38022e39,192.168.99.4,1111.130393743515,0,5,00064,"64_hypercubes=heat_para_14d,seed=3",8576732,51.18935704231262,150,310.94053649902344,900.0,1.391682779788971,0.001003538522248467,0.9392562162876129,0.022983841076493264,0.03167867614418991,1.391682779788971,0.001003538522248467,0.9392562162876129,0.022983841076493264,0,0,0,0,171.08106660842896,250,855.4391708374023,1250.0,3202.1861630859376,6.271311826705933,36.33392517089844,1.5632894101142882,2.504258737971365,3197.788677734375,5.784321678876877,36.309643600463865,1.4984101142883302,1,4,3,4,55.32439708709717,150,55.32439708709717,150.0,2666.55515625,0.9564157478014628,47.956104303995765,0.9778826610247294,0.9779651056154626
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,2b755e155fb141c0bcbc71ffcf386791,2020-10-21_01-30-34,1603243834,222.46281790733337,1333.5932116508484,411,d83e38022e39,192.168.99.4,1333.5932116508484,0,6,00064,"64_hypercubes=heat_para_14d,seed=3",8576732,51.43891000747681,150,362.37944650650024,1050.0,1.2241348274548849,0.0008140351821202784,0.876024374961853,0.020962744504213333,0.028531301795050965,1.2241348274548849,0.0008140351821202784,0.876024374961853,0.020962744504213333,0,0,0,0,171.00707125663757,250,1026.44624209404,1500.0,3194.5533154296877,6.269824409484864,36.31012110900879,1.56280859375,2.5039617428157452,3194.5533154296877,5.784321678876877,36.309643600463865,1.4984101142883302,0,5,4,5,55.32439708709717,150,55.32439708709717,150.0,2666.55515625,0.9564157478014628,47.956104303995765,0.9778826610247294,0.9779651056154626
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,2b755e155fb141c0bcbc71ffcf386791,2020-10-21_01-34-17,1603244057,222.32717990875244,1555.9203915596008,411,d83e38022e39,192.168.99.4,1555.9203915596008,0,7,00064,"64_hypercubes=heat_para_14d,seed=3",8576732,51.1935772895813,150,413.57302379608154,1200.0,1.3636965854962666,0.0010125909637038906,0.9283404839038849,0.022833190908034644,0.031821234478000546,1.2241348274548849,0.0008140351821202784,0.876024374961853,0.020962744504213333,1,1,1,1,171.11501097679138,250,1197.5612530708313,1750.0,3201.9304580078124,6.268021472930908,36.31086898803711,1.5624303345680237,2.5036017001374056,3194.5533154296877,5.784321678876877,36.309643600463865,1.4984101142883302,1,6,5,6,55.32439708709717,150,55.32439708709717,150.0,2666.55515625,0.9564157478014628,47.956104303995765,0.9778826610247294,0.9779651056154626
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,2b755e155fb141c0bcbc71ffcf386791,2020-10-21_01-37-59,1603244279,222.48795628547668,1778.4083478450775,411,d83e38022e39,192.168.99.4,1778.4083478450775,0,8,00064,"64_hypercubes=heat_para_14d,seed=3",8576732,51.36907696723938,150,464.9421007633209,1350.0,2.1414722108840945,0.0017205574076312284,1.1765143020947775,0.02929504988094171,0.04147960230801675,1.2241348274548849,0.0008140351821202784,0.876024374961853,0.020962744504213333,2,2,2,2,171.10144567489624,250,1368.6626987457275,2000.0,3203.4204775390626,6.272105236053466,36.32234904479981,1.5632313146591186,2.504417144976744,3194.5533154296877,5.784321678876877,36.309643600463865,1.4984101142883302,2,7,6,7,55.32439708709717,150,55.32439708709717,150.0,2666.55515625,0.9564157478014628,47.956104303995765,0.9778826610247294,0.9779651056154626
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,2b755e155fb141c0bcbc71ffcf386791,2020-10-21_01-41-42,1603244502,222.6317572593689,2001.0401051044464,411,d83e38022e39,192.168.99.4,2001.0401051044464,0,9,00064,"64_hypercubes=heat_para_14d,seed=3",8576732,51.48953056335449,150,516.4316313266754,1500.0,1.450500967502594,0.0009607008681632579,0.9597450284163157,0.022940432044366996,0.03099517491744897,1.2241348274548849,0.0008140351821202784,0.876024374961853,0.020962744504213333,3,3,3,3,171.12639784812927,250,1539.7890965938568,2250.0,3197.7666826171876,6.26849988746643,36.31141505432129,1.5626832756996154,2.503697243571281,3194.5533154296877,5.784321678876877,36.309643600463865,1.4984101142883302,3,8,7,8,55.32439708709717,150,55.32439708709717,150.0,2666.55515625,0.9564157478014628,47.956104303995765,0.9778826610247294,0.9779651056154626
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,2b755e155fb141c0bcbc71ffcf386791,2020-10-21_01-45-25,1603244725,222.88902235031128,2223.9291274547577,411,d83e38022e39,192.168.99.4,2223.9291274547577,0,10,00064,"64_hypercubes=heat_para_14d,seed=3",8576732,51.74820590019226,150,568.1798372268677,1650.0,2.1215359115600587,0.001776578186545521,1.1784058332443237,0.029697269424796103,0.042149474332967916,1.2241348274548849,0.0008140351821202784,0.876024374961853,0.020962744504213333,4,4,4,4,171.1237063407898,250,1710.9128029346466,2500.0,3196.8941142578124,6.2632060546875,36.29182751464844,1.5621303277015686,2.502639817210519,3194.5533154296877,5.784321678876877,36.29182751464844,1.4984101142883302,4,9,0,9,55.32439708709717,150,55.32439708709717,150.0,2666.55515625,0.9564157478014628,47.956104303995765,0.9778826610247294,0.9779651056154626
