lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,021a769b8ef346938878621e0a5d842d,2020-10-21_02-01-43,1603245703,269.5155313014984,269.5155313014984,387,d83e38022e39,192.168.99.4,269.5155313014984,0,1,00065,"65_hypercubes=heat_para_15d,seed=3",11184332,58.84207248687744,150,121.45010924339294,300.0,4.980359385808309,0.0027192711643874647,1.7788970931371053,0.03855516374111176,0.05214663138101506,4.980359385808309,0.0027192711643874647,1.7788970931371053,0.03855516374111176,0,0,0,0,210.65397763252258,250,210.65397763252258,250.0,4205.894499023438,5.729795479297638,41.0720509185791,1.4999542672634125,2.3936991204613913,4205.894499023438,5.729795479297638,41.0720509185791,1.4999542672634125,0,0,0,0,62.6080367565155,150,62.6080367565155,150.0,3377.9871940104167,0.9586568848292033,53.82714797973633,0.9790325776735942,0.9791102516209312
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,021a769b8ef346938878621e0a5d842d,2020-10-21_02-06-12,1603245972,269.40366101264954,538.919192314148,387,d83e38022e39,192.168.99.4,538.919192314148,0,2,00065,"65_hypercubes=heat_para_15d,seed=3",11184332,58.58812165260315,150,180.0382308959961,450.0,3.0420344718297323,0.0015922679790916542,1.3818263093630472,0.029389200483759245,0.0399032326897415,3.0420344718297323,0.0015922679790916542,1.3818263093630472,0.029389200483759245,0,0,0,0,210.7961015701294,250,421.450079202652,500.0,4071.279767578125,6.199908870697022,40.83997253417969,1.5638188443183898,2.489961620326109,4071.279767578125,5.729795479297638,40.83997253417969,1.4999542672634125,0,1,0,1,62.6080367565155,150,62.6080367565155,150.0,3377.9871940104167,0.9586568848292033,53.82714797973633,0.9790325776735942,0.9791102516209312
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,021a769b8ef346938878621e0a5d842d,2020-10-21_02-10-41,1603246241,269.2144868373871,808.133679151535,387,d83e38022e39,192.168.99.4,808.133679151535,0,3,00065,"65_hypercubes=heat_para_15d,seed=3",11184332,58.43878626823425,150,238.47701716423035,600.0,2.516106071472168,0.0015314154567507407,1.26169695297877,0.027739714148143926,0.03913330367795109,2.516106071472168,0.0015314154567507407,1.26169695297877,0.027739714148143926,0,0,0,0,210.75746369361877,250,632.2075428962708,750.0,4071.515166015625,6.190528547286987,40.83599911499024,1.5625093050003052,2.4880772792031576,4071.279767578125,5.729795479297638,40.83599911499024,1.4999542672634125,1,2,0,2,62.6080367565155,150,62.6080367565155,150.0,3377.9871940104167,0.9586568848292033,53.82714797973633,0.9790325776735942,0.9791102516209312
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,021a769b8ef346938878621e0a5d842d,2020-10-21_02-15-11,1603246511,269.22449803352356,1077.3581771850586,387,d83e38022e39,192.168.99.4,1077.3581771850586,0,4,00065,"65_hypercubes=heat_para_15d,seed=3",11184332,58.327797651290894,150,296.80481481552124,750.0,2.100719262758891,0.001132469302198539,1.1500049622853596,0.02469195432960987,0.03365218123983257,2.100719262758891,0.001132469302198539,1.1500049622853596,0.02469195432960987,0,0,0,0,210.8798689842224,250,843.0874118804932,1000.0,4073.5436240234376,6.199005250930786,40.84896192932129,1.5635285558700562,2.4897801611649943,4071.279767578125,5.729795479297638,40.83599911499024,1.4999542672634125,2,3,1,3,62.6080367565155,150,62.6080367565155,150.0,3377.9871940104167,0.9586568848292033,53.82714797973633,0.9790325776735942,0.9791102516209312
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,021a769b8ef346938878621e0a5d842d,2020-10-21_02-19-41,1603246781,270.07495522499084,1347.4331324100494,387,d83e38022e39,192.168.99.4,1347.4331324100494,0,5,00065,"65_hypercubes=heat_para_15d,seed=3",11184332,59.2257604598999,150,356.03057527542114,900.0,1.7267129349708557,0.0010137027959960202,1.0441115029652914,0.022805222359796366,0.031838699659314296,1.7267129349708557,0.0010137027959960202,1.0441115029652914,0.022805222359796366,0,0,0,0,210.83448839187622,250,1053.9219002723694,1250.0,4075.62832421875,6.195914041519165,40.84954237365723,1.5631452541351318,2.4891593041666025,4071.279767578125,5.729795479297638,40.83599911499024,1.4999542672634125,3,4,2,4,62.6080367565155,150,62.6080367565155,150.0,3377.9871940104167,0.9586568848292033,53.82714797973633,0.9790325776735942,0.9791102516209312
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,021a769b8ef346938878621e0a5d842d,2020-10-21_02-24-10,1603247050,269.42354798316956,1616.856680393219,387,d83e38022e39,192.168.99.4,1616.856680393219,0,6,00065,"65_hypercubes=heat_para_15d,seed=3",11184332,58.72323036193848,150,414.7538056373596,1050.0,1.903518062432607,0.0009995605680160225,1.093997623125712,0.02338968264559905,0.03161582780848894,1.7267129349708557,0.0009995605680160225,1.0441115029652914,0.022805222359796366,1,0,1,1,210.67952036857605,250,1264.6014206409454,1500.0,4075.4321728515624,6.195461269378662,40.852058029174806,1.5631928024291992,2.489068353697556,4071.279767578125,5.729795479297638,40.83599911499024,1.4999542672634125,4,5,3,5,62.6080367565155,150,62.6080367565155,150.0,3377.9871940104167,0.9586568848292033,53.82714797973633,0.9790325776735942,0.9791102516209312
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,021a769b8ef346938878621e0a5d842d,2020-10-21_02-28-39,1603247319,269.07309770584106,1885.92977809906,387,d83e38022e39,192.168.99.4,1885.92977809906,0,7,00065,"65_hypercubes=heat_para_15d,seed=3",11184332,58.49381470680237,150,473.247620344162,1200.0,1.7233957974116008,0.0008770443596101056,1.0364740554491678,0.021922773780922094,0.029614934739251166,1.7233957974116008,0.0008770443596101056,1.0364740554491678,0.021922773780922094,0,0,0,0,210.55933213233948,250,1475.160752773285,1750.0,4072.003052734375,6.18826809501648,40.83220579528808,1.5623567109107972,2.487622980882851,4071.279767578125,5.729795479297638,40.83220579528808,1.4999542672634125,5,6,0,6,62.6080367565155,150,62.6080367565155,150.0,3377.9871940104167,0.9586568848292033,53.82714797973633,0.9790325776735942,0.9791102516209312
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,021a769b8ef346938878621e0a5d842d,2020-10-21_02-33-09,1603247589,269.7289743423462,2155.6587524414062,387,d83e38022e39,192.168.99.4,2155.6587524414062,0,8,00065,"65_hypercubes=heat_para_15d,seed=3",11184332,58.83478593826294,150,532.0824062824249,1350.0,1.7552789092063903,0.0010367276977437238,1.05337215979894,0.02315419103950262,0.03219825612892294,1.7233957974116008,0.0008770443596101056,1.0364740554491678,0.021922773780922094,1,1,1,1,210.8754951953888,250,1686.0362479686737,2000.0,4068.628009765625,6.19450087928772,40.83693856811524,1.5631481165885925,2.488875424622076,4068.628009765625,5.729795479297638,40.83220579528808,1.4999542672634125,0,7,1,7,62.6080367565155,150,62.6080367565155,150.0,3377.9871940104167,0.9586568848292033,53.82714797973633,0.9790325776735942,0.9791102516209312
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,021a769b8ef346938878621e0a5d842d,2020-10-21_02-37-38,1603247858,269.38065242767334,2425.0394048690796,387,d83e38022e39,192.168.99.4,2425.0394048690796,0,9,00065,"65_hypercubes=heat_para_15d,seed=3",11184332,58.85051441192627,150,590.9329206943512,1500.0,1.485210374991099,0.0007740579056553543,0.9632271909713745,0.02050337137033542,0.02782189615492363,1.485210374991099,0.0007740579056553543,0.9632271909713745,0.02050337137033542,0,0,0,0,210.51163268089294,250,1896.5478806495667,2250.0,4070.75428125,6.198037462234497,40.842150482177736,1.5632354555130006,2.489585801340154,4068.628009765625,5.729795479297638,40.83220579528808,1.4999542672634125,1,8,2,8,62.6080367565155,150,62.6080367565155,150.0,3377.9871940104167,0.9586568848292033,53.82714797973633,0.9790325776735942,0.9791102516209312
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,021a769b8ef346938878621e0a5d842d,2020-10-21_02-42-08,1603248128,269.3767728805542,2694.416177749634,387,d83e38022e39,192.168.99.4,2694.416177749634,0,10,00065,"65_hypercubes=heat_para_15d,seed=3",11184332,58.82329058647156,150,649.7562112808228,1650.0,1.6805511236190795,0.0008183744910638779,1.0132580312093098,0.02102884344756603,0.02860724542950401,1.485210374991099,0.0007740579056553543,0.9632271909713745,0.02050337137033542,1,1,1,1,210.5340428352356,250,2107.0819234848022,2500.0,4069.4516630859375,6.186386905670166,40.822603439331054,1.562289445400238,2.4872448423245683,4068.628009765625,5.729795479297638,40.822603439331054,1.4999542672634125,2,9,0,9,62.6080367565155,150,62.6080367565155,150.0,3377.9871940104167,0.9586568848292033,53.82714797973633,0.9790325776735942,0.9791102516209312
