lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,6464ef27ad5740fb9dc2d340150029f4,2020-10-19_22-51-23,1603147883,121.43271565437317,121.43271565437317,389,d83e38022e39,192.168.99.4,121.43271565437317,0,1,00007,"7_hypercubes=heat_para_8d,seed=0",1033100,17.48987126350403,150,39.856420278549194,300.0,0.34155915915966034,0.000978680250312512,0.46227816104888914,0.02424407006551822,0.03128386565487891,0.34155915915966034,0.000978680250312512,0.46227816104888914,0.02424407006551822,0,0,0,0,103.93685603141785,250,103.93685603141785,250.0,495.4255401611328,5.288970597028732,14.513018096923828,1.3929480018615723,2.29977620585759,495.4255401611328,5.288970597028732,14.513018096923828,1.3929480018615723,0,0,0,0,22.366549015045166,150,22.366549015045166,150.0,422.80531778971357,0.9084600528081258,19.49115047454834,0.9528582620620728,0.9531317080068871
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,6464ef27ad5740fb9dc2d340150029f4,2020-10-19_22-53-24,1603148004,121.38610649108887,242.81882214546204,389,d83e38022e39,192.168.99.4,242.81882214546204,0,2,00007,"7_hypercubes=heat_para_8d,seed=0",1033100,17.404452800750732,150,57.26087307929993,450.0,0.26767833014329273,0.0007663094737411787,0.4123370244105657,0.021596758862336477,0.027682295312007252,0.26767833014329273,0.0007663094737411787,0.4123370244105657,0.021596758862336477,0,0,0,0,103.97449707984924,250,207.9113531112671,500.0,475.7333223876953,5.770708961486816,14.379790424346924,1.4568165445327759,2.4022299976244605,475.7333223876953,5.288970597028732,14.379790424346924,1.3929480018615723,0,1,0,1,22.366549015045166,150,22.366549015045166,150.0,422.80531778971357,0.9084600528081258,19.49115047454834,0.9528582620620728,0.9531317080068871
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,6464ef27ad5740fb9dc2d340150029f4,2020-10-19_22-55-26,1603148126,121.33544182777405,364.1542639732361,389,d83e38022e39,192.168.99.4,364.1542639732361,0,3,00007,"7_hypercubes=heat_para_8d,seed=0",1033100,17.150744676589966,150,74.41161775588989,600.0,0.1791859703262647,0.000579285352335622,0.3353207403421402,0.01816440066943566,0.024068347519836546,0.1791859703262647,0.000579285352335622,0.3353207403421402,0.01816440066943566,0,0,0,0,104.17902183532715,250,312.09037494659424,750.0,475.84233642578124,5.768524625778198,14.381881244659423,1.456348683834076,2.40177530709644,475.7333223876953,5.288970597028732,14.379790424346924,1.3929480018615723,1,2,1,2,22.366549015045166,150,22.366549015045166,150.0,422.80531778971357,0.9084600528081258,19.49115047454834,0.9528582620620728,0.9531317080068871
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,6464ef27ad5740fb9dc2d340150029f4,2020-10-19_22-57-27,1603148247,121.04126119613647,485.19552516937256,389,d83e38022e39,192.168.99.4,485.19552516937256,0,4,00007,"7_hypercubes=heat_para_8d,seed=0",1033100,17.071534156799316,150,91.48315191268921,750.0,0.1888837264974912,0.0005325412148764978,0.34713820775349935,0.018111326570312183,0.02307685452735051,0.1791859703262647,0.0005325412148764978,0.3353207403421402,0.018111326570312183,1,0,1,0,103.9643702507019,250,416.05474519729614,1000.0,476.19725854492185,5.773871784210205,14.386225566864013,1.4571468572616577,2.4028882171691226,475.7333223876953,5.288970597028732,14.379790424346924,1.3929480018615723,2,3,2,3,22.366549015045166,150,22.366549015045166,150.0,422.80531778971357,0.9084600528081258,19.49115047454834,0.9528582620620728,0.9531317080068871
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,6464ef27ad5740fb9dc2d340150029f4,2020-10-19_22-59-28,1603148368,121.25161600112915,606.4471411705017,389,d83e38022e39,192.168.99.4,606.4471411705017,0,5,00007,"7_hypercubes=heat_para_8d,seed=0",1033100,17.295920610427856,150,108.77907252311707,900.0,0.16070283353328704,0.0004456482024397701,0.31574474334716796,0.016404607680936656,0.0211103813902016,0.16070283353328704,0.0004456482024397701,0.31574474334716796,0.016404607680936656,0,0,0,0,103.94928479194641,250,520.0040299892426,1250.0,476.44023779296873,5.775063739776611,14.38924150466919,1.4572275052070618,2.4031362299662935,475.7333223876953,5.288970597028732,14.379790424346924,1.3929480018615723,3,4,3,4,22.366549015045166,150,22.366549015045166,150.0,422.80531778971357,0.9084600528081258,19.49115047454834,0.9528582620620728,0.9531317080068871
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,6464ef27ad5740fb9dc2d340150029f4,2020-10-19_23-01-29,1603148489,121.22343397140503,727.6705751419067,389,d83e38022e39,192.168.99.4,727.6705751419067,0,6,00007,"7_hypercubes=heat_para_8d,seed=0",1033100,17.34389090538025,150,126.12296342849731,1050.0,0.13278614739576974,0.0004170551983406767,0.2884773645798365,0.015530392248183488,0.02042192934912558,0.13278614739576974,0.0004170551983406767,0.2884773645798365,0.015530392248183488,0,0,0,0,103.87304472923279,250,623.8770747184753,1500.0,476.2661512451172,5.7776611633300785,14.389026229858398,1.4573302855491639,2.403676592915544,475.7333223876953,5.288970597028732,14.379790424346924,1.3929480018615723,4,5,4,5,22.366549015045166,150,22.366549015045166,150.0,422.80531778971357,0.9084600528081258,19.49115047454834,0.9528582620620728,0.9531317080068871
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,6464ef27ad5740fb9dc2d340150029f4,2020-10-19_23-03-31,1603148611,121.35144662857056,849.0220217704773,389,d83e38022e39,192.168.99.4,849.0220217704773,0,7,00007,"7_hypercubes=heat_para_8d,seed=0",1033100,17.304308891296387,150,143.4272723197937,1200.0,0.13522237797578177,0.000434144622219416,0.2931186846892039,0.01591273885220289,0.020836137411224184,0.13278614739576974,0.0004170551983406767,0.2884773645798365,0.015530392248183488,1,1,1,1,104.04120445251465,250,727.91827917099,1750.0,475.5185357666016,5.769720937728882,14.375944400787354,1.4562296199798583,2.4020243416187275,475.5185357666016,5.288970597028732,14.375944400787354,1.3929480018615723,0,6,0,6,22.366549015045166,150,22.366549015045166,150.0,422.80531778971357,0.9084600528081258,19.49115047454834,0.9528582620620728,0.9531317080068871
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,6464ef27ad5740fb9dc2d340150029f4,2020-10-19_23-05-32,1603148732,121.11563992500305,970.1376616954803,389,d83e38022e39,192.168.99.4,970.1376616954803,0,8,00007,"7_hypercubes=heat_para_8d,seed=0",1033100,17.227947473526,150,160.6552197933197,1350.0,0.12109950423240662,0.00037255607390155395,0.27453281859556833,0.014704979651918014,0.019301711683204523,0.12109950423240662,0.00037255607390155395,0.27453281859556833,0.014704979651918014,0,0,0,0,103.88110947608948,250,831.7993886470795,2000.0,476.32443334960936,5.775123979568481,14.386521118164062,1.4569096636772156,2.403148763511839,475.5185357666016,5.288970597028732,14.375944400787354,1.3929480018615723,1,7,1,7,22.366549015045166,150,22.366549015045166,150.0,422.80531778971357,0.9084600528081258,19.49115047454834,0.9528582620620728,0.9531317080068871
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,6464ef27ad5740fb9dc2d340150029f4,2020-10-19_23-07-33,1603148853,121.17088437080383,1091.3085460662842,389,d83e38022e39,192.168.99.4,1091.3085460662842,0,9,00007,"7_hypercubes=heat_para_8d,seed=0",1033100,17.28838300704956,150,177.94360280036926,1500.0,0.15640120923519135,0.000458822213501359,0.3138416749238968,0.01658867715547482,0.021420135702216243,0.12109950423240662,0.00037255607390155395,0.27453281859556833,0.014704979651918014,1,1,1,1,103.8762378692627,250,935.6756265163422,2250.0,475.9113708496094,5.777765197753906,14.386152812957764,1.4572971701622008,2.4036982335047603,475.5185357666016,5.288970597028732,14.375944400787354,1.3929480018615723,2,8,2,8,22.366549015045166,150,22.366549015045166,150.0,422.80531778971357,0.9084600528081258,19.49115047454834,0.9528582620620728,0.9531317080068871
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,6464ef27ad5740fb9dc2d340150029f4,2020-10-19_23-09-34,1603148974,121.3685896396637,1212.6771357059479,389,d83e38022e39,192.168.99.4,1212.6771357059479,0,10,00007,"7_hypercubes=heat_para_8d,seed=0",1033100,17.289928436279297,150,195.23353123664856,1650.0,0.22089563190937042,0.0005459690222050995,0.3717042976617813,0.018816838810841244,0.023365980018075414,0.12109950423240662,0.00037255607390155395,0.27453281859556833,0.014704979651918014,2,2,2,2,104.07300138473511,250,1039.7486279010773,2500.0,476.4560546875,5.773528385162353,14.387704971313477,1.4570338611602782,2.4028167606295643,475.5185357666016,5.288970597028732,14.375944400787354,1.3929480018615723,3,9,3,9,22.366549015045166,150,22.366549015045166,150.0,422.80531778971357,0.9084600528081258,19.49115047454834,0.9528582620620728,0.9531317080068871
"[0.001, 0.001, 0.001, 0.001]",10,False,,,11,6464ef27ad5740fb9dc2d340150029f4,2020-10-19_23-11-36,1603149096,121.34114217758179,1334.0182778835297,389,d83e38022e39,192.168.99.4,1334.0182778835297,0,11,00007,"7_hypercubes=heat_para_8d,seed=0",1033100,17.30363917350769,150,212.53717041015625,1800.0,0.09766741250952085,0.00031190051794207345,0.24529745370149614,0.013232309271891911,0.01766070547690758,0.09766741250952085,0.00031190051794207345,0.24529745370149614,0.013232309271891911,0,0,0,0,104.03083443641663,250,1143.779462337494,2750.0,475.771064453125,5.770285369873047,14.380912147521972,1.4568899674415587,2.4021418296747274,475.5185357666016,5.288970597028732,14.375944400787354,1.3929480018615723,4,10,4,10,22.366549015045166,150,22.366549015045166,150.0,422.80531778971357,0.9084600528081258,19.49115047454834,0.9528582620620728,0.9531317080068871
"[0.001, 0.001, 0.001, 0.001]",11,False,,,12,6464ef27ad5740fb9dc2d340150029f4,2020-10-19_23-13-37,1603149217,121.4439685344696,1455.4622464179993,389,d83e38022e39,192.168.99.4,1455.4622464179993,0,12,00007,"7_hypercubes=heat_para_8d,seed=0",1033100,17.35893678665161,150,229.89610719680786,1950.0,0.24871477276086806,0.0005595166465112318,0.39568454086780547,0.01950367366274198,0.023654104221281173,0.09766741250952085,0.00031190051794207345,0.24529745370149614,0.013232309271891911,1,1,1,1,104.07928204536438,250,1247.8587443828583,3000.0,474.7705958251953,5.765727569580078,14.371128555297851,1.455790533542633,2.401192947178564,474.7705958251953,5.288970597028732,14.371128555297851,1.3929480018615723,0,11,0,11,22.366549015045166,150,22.366549015045166,150.0,422.80531778971357,0.9084600528081258,19.49115047454834,0.9528582620620728,0.9531317080068871
"[0.001, 0.001, 0.001, 0.001]",12,False,,,13,6464ef27ad5740fb9dc2d340150029f4,2020-10-19_23-15-39,1603149339,121.25188732147217,1576.7141337394714,389,d83e38022e39,192.168.99.4,1576.7141337394714,0,13,00007,"7_hypercubes=heat_para_8d,seed=0",1033100,17.18690013885498,150,247.08300733566284,2100.0,0.2088140979409218,0.000559761009256666,0.3725262419382731,0.01928729873150587,0.0236592689924407,0.09766741250952085,0.00031190051794207345,0.24529745370149614,0.013232309271891911,2,2,2,2,104.05966138839722,250,1351.9184057712555,3250.0,475.5154655761719,5.774113111495971,14.381626132965089,1.456984899520874,2.4029384327310535,474.7705958251953,5.288970597028732,14.371128555297851,1.3929480018615723,1,12,1,12,22.366549015045166,150,22.366549015045166,150.0,422.80531778971357,0.9084600528081258,19.49115047454834,0.9528582620620728,0.9531317080068871
