lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,be5514c807c34354af6352978d056879,2020-10-19_23-16-42,1603149402,148.37676215171814,148.37676215171814,412,d83e38022e39,192.168.99.4,148.37676215171814,0,1,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.54767084121704,150,57.50066900253296,300.0,0.5881972308953604,0.0011215581193876763,0.6095560987790426,0.02453188519924879,0.033489671831591246,0.5881972308953604,0.0011215581193876763,0.6095560987790426,0.02453188519924879,0,0,0,0,121.82121586799622,250,121.82121586799622,250.0,1046.029381591797,5.722111728191376,20.87442227935791,1.4574837243556977,2.3920935868379765,1046.029381591797,5.722111728191376,20.87442227935791,1.4574837243556977,0,0,0,0,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,be5514c807c34354af6352978d056879,2020-10-19_23-19-10,1603149550,148.28134560585022,296.65810775756836,412,d83e38022e39,192.168.99.4,296.65810775756836,0,2,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.564473628997803,150,84.06514263153076,450.0,0.7899119333426158,0.0014427129419830938,0.715607621272405,0.028683867764969666,0.037983061250814076,0.5881972308953604,0.0011215581193876763,0.6095560987790426,0.02453188519924879,1,1,1,1,121.71049952507019,250,243.5317153930664,500.0,1006.867978515625,6.249197498321533,20.70209735107422,1.5253261528015136,2.4998394945119045,1006.867978515625,5.722111728191376,20.70209735107422,1.4574837243556977,0,1,0,1,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,be5514c807c34354af6352978d056879,2020-10-19_23-21-38,1603149698,148.2740879058838,444.93219566345215,412,d83e38022e39,192.168.99.4,444.93219566345215,0,3,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.513161182403564,150,110.57830381393433,600.0,0.47747534652551016,0.0008362548037742575,0.5540475376447042,0.021957780681550503,0.028918070540308486,0.47747534652551016,0.0008362548037742575,0.5540475376447042,0.021957780681550503,0,0,0,0,121.75380873680115,250,365.28552412986755,750.0,1007.3377905273437,6.251989351272583,20.707843421936037,1.5255924396514893,2.5003978385994063,1006.867978515625,5.722111728191376,20.70209735107422,1.4574837243556977,1,2,1,2,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,be5514c807c34354af6352978d056879,2020-10-19_23-24-06,1603149846,147.82433915138245,592.7565348148346,412,d83e38022e39,192.168.99.4,592.7565348148346,0,4,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.04867172241211,150,136.62697553634644,750.0,0.3955456747611364,0.0006444385213156542,0.49810525178909304,0.019249985963106155,0.02538579369087471,0.3955456747611364,0.0006444385213156542,0.49810525178909304,0.019249985963106155,0,0,0,0,121.76828289031982,250,487.0538070201874,1000.0,1008.244966796875,6.250929666519165,20.710060829162597,1.525482358455658,2.5001859263901087,1006.867978515625,5.722111728191376,20.70209735107422,1.4574837243556977,2,3,2,3,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,be5514c807c34354af6352978d056879,2020-10-19_23-26-35,1603149995,148.45929884910583,741.2158336639404,412,d83e38022e39,192.168.99.4,741.2158336639404,0,5,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.64712166786194,150,163.27409720420837,900.0,0.3260782297452291,0.000563434154416124,0.4537010043859482,0.017834490636984508,0.023736767985893192,0.3260782297452291,0.000563434154416124,0.4537010043859482,0.017834490636984508,0,0,0,0,121.80456757545471,250,608.8583745956421,1250.0,1006.3730241699219,6.255994874954224,20.702637641906737,1.5256855306625365,2.5011986876204424,1006.3730241699219,5.722111728191376,20.70209735107422,1.4574837243556977,0,4,3,4,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,be5514c807c34354af6352978d056879,2020-10-19_23-29-04,1603150144,148.92336440086365,890.1391980648041,412,d83e38022e39,192.168.99.4,890.1391980648041,0,6,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,27.115069150924683,150,190.38916635513306,1050.0,0.49876491288344066,0.0009936671533311407,0.5644533801078796,0.02305858939886093,0.03152248647126588,0.3260782297452291,0.000563434154416124,0.4537010043859482,0.017834490636984508,1,1,1,1,121.79879856109619,250,730.6571731567383,1500.0,1007.3650012207031,6.261970922470093,20.70659454345703,1.5262255144119263,2.5023930391667277,1006.3730241699219,5.722111728191376,20.70209735107422,1.4574837243556977,1,5,4,5,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,be5514c807c34354af6352978d056879,2020-10-19_23-31-33,1603150293,148.92593383789062,1039.0651319026947,412,d83e38022e39,192.168.99.4,1039.0651319026947,0,7,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.665529489517212,150,217.05469584465027,1200.0,0.5992857627073924,0.0015000151470303535,0.6297371745109558,0.02733511711160342,0.038730029008901525,0.3260782297452291,0.000563434154416124,0.4537010043859482,0.017834490636984508,2,2,2,2,122.25180053710938,250,852.9089736938477,1750.0,1005.7447729492187,6.248394794464112,20.69386080932617,1.5250058035850524,2.499678938276696,1005.7447729492187,5.722111728191376,20.69386080932617,1.4574837243556977,0,6,0,6,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,be5514c807c34354af6352978d056879,2020-10-19_23-34-01,1603150441,148.71029353141785,1187.7754254341125,412,d83e38022e39,192.168.99.4,1187.7754254341125,0,8,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.921857833862305,150,243.97655367851257,1350.0,0.2908781599998474,0.0005067418104348084,0.4257405100266139,0.016788542283078033,0.022510926467713594,0.2908781599998474,0.0005067418104348084,0.4257405100266139,0.016788542283078033,0,0,0,0,121.7810652256012,250,974.6900389194489,2000.0,1009.1364477539063,6.2577861785888675,20.721199798583985,1.5260299415588379,2.501556751023024,1005.7447729492187,5.722111728191376,20.69386080932617,1.4574837243556977,1,7,1,7,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,be5514c807c34354af6352978d056879,2020-10-19_23-36-29,1603150589,147.9411497116089,1335.7165751457214,412,d83e38022e39,192.168.99.4,1335.7165751457214,0,9,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.141988277435303,150,270.1185419559479,1500.0,0.23976819078127543,0.0003693481687999641,0.38258920152982073,0.014606909925738971,0.0192184330474668,0.23976819078127543,0.0003693481687999641,0.38258920152982073,0.014606909925738971,0,0,0,0,121.7881269454956,250,1096.4781658649445,2250.0,1009.2792470703125,6.2636662921905515,20.713370323181152,1.5264417991638184,2.502731765929092,1005.7447729492187,5.722111728191376,20.69386080932617,1.4574837243556977,2,8,2,8,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,be5514c807c34354af6352978d056879,2020-10-19_23-38-58,1603150738,148.64069318771362,1484.357268333435,412,d83e38022e39,192.168.99.4,1484.357268333435,0,10,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.793517351150513,150,296.9120593070984,1650.0,0.2696569985151291,0.0004805295014133056,0.4120043784379959,0.016323517051835854,0.021920983130628645,0.23976819078127543,0.0003693481687999641,0.38258920152982073,0.014606909925738971,1,1,1,1,121.83966946601868,250,1218.3178353309631,2500.0,1006.6838171386719,6.245612014770508,20.694046348571778,1.5244289708137513,2.4991222488646905,1005.7447729492187,5.722111728191376,20.69386080932617,1.4574837243556977,3,9,3,9,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.001, 0.001, 0.001, 0.001]",10,False,,,11,be5514c807c34354af6352978d056879,2020-10-19_23-41-26,1603150886,148.01925468444824,1632.3765230178833,412,d83e38022e39,192.168.99.4,1632.3765230178833,0,11,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.385849475860596,150,323.297908782959,1800.0,0.34125583012898764,0.0005924693091462056,0.46150210916996004,0.01795044980943203,0.024340692454123108,0.23976819078127543,0.0003693481687999641,0.38258920152982073,0.014606909925738971,2,2,2,2,121.62647557258606,250,1339.9443109035492,2750.0,1005.9300544433594,6.253392074584961,20.696714279174806,1.5254122729301454,2.500678322892603,1005.7447729492187,5.722111728191376,20.69386080932617,1.4574837243556977,4,10,4,10,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.001, 0.001, 0.001, 0.001]",11,False,,,12,be5514c807c34354af6352978d056879,2020-10-19_23-43-54,1603151034,148.43170475959778,1780.808227777481,412,d83e38022e39,192.168.99.4,1780.808227777481,0,12,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.662740230560303,150,349.9606490135193,1950.0,0.25770271857579546,0.0003695986470362792,0.3982734501361847,0.014963719372948011,0.01922494855744169,0.23976819078127543,0.0003693481687999641,0.38258920152982073,0.014606909925738971,3,3,3,3,121.76094341278076,250,1461.70525431633,3000.0,1005.8920634765625,6.255356536865234,20.69843837738037,1.52541108751297,2.5010710779314596,1005.7447729492187,5.722111728191376,20.69386080932617,1.4574837243556977,5,11,5,11,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.001, 0.001, 0.001, 0.001]",12,False,,,13,be5514c807c34354af6352978d056879,2020-10-19_23-46-23,1603151183,148.55473470687866,1929.3629624843597,412,d83e38022e39,192.168.99.4,1929.3629624843597,0,13,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.95666813850403,150,376.9173171520233,2100.0,0.221010322868824,0.0003503949975129217,0.3671543500820796,0.01408958988264203,0.018718840709641228,0.221010322868824,0.0003503949975129217,0.3671543500820796,0.01408958988264203,0,0,0,0,121.58895587921143,250,1583.2942101955414,3250.0,1006.2373520507813,6.253569700241089,20.70012865447998,1.525634714126587,2.500713838135241,1005.7447729492187,5.722111728191376,20.69386080932617,1.4574837243556977,6,12,6,12,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.001, 0.001, 0.001, 0.001]",13,False,,,14,be5514c807c34354af6352978d056879,2020-10-19_23-48-52,1603151332,148.64548349380493,2078.0084459781647,412,d83e38022e39,192.168.99.4,2078.0084459781647,0,14,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.760937213897705,150,403.678254365921,2250.0,0.23824043999115627,0.00044460098103930553,0.3842316081126531,0.015325461514294147,0.021085563332273235,0.221010322868824,0.0003503949975129217,0.3671543500820796,0.01408958988264203,1,1,1,1,121.87528657913208,250,1705.1694967746735,3500.0,1008.210904296875,6.265825468063355,20.71443064880371,1.526642496585846,2.503163092581735,1005.7447729492187,5.722111728191376,20.69386080932617,1.4574837243556977,7,13,7,13,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.001, 0.001, 0.001, 0.001]",14,False,,,15,be5514c807c34354af6352978d056879,2020-10-19_23-51-20,1603151480,148.27798080444336,2226.286426782608,412,d83e38022e39,192.168.99.4,2226.286426782608,0,15,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.578338623046875,150,430.2565929889679,2400.0,0.245098340511322,0.00039305875562907505,0.382437855998675,0.014667417816817761,0.019825709460926613,0.221010322868824,0.0003503949975129217,0.3671543500820796,0.01408958988264203,2,2,2,2,121.69125390052795,250,1826.8607506752014,3750.0,1005.6762126464844,6.250690885543824,20.696258583068847,1.5246430559158326,2.500138173290393,1005.6762126464844,5.722111728191376,20.69386080932617,1.4574837243556977,0,14,8,14,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.001, 0.001, 0.001, 0.001]",15,False,,,16,be5514c807c34354af6352978d056879,2020-10-19_23-53-49,1603151629,148.93607687950134,2375.2225036621094,412,d83e38022e39,192.168.99.4,2375.2225036621094,0,16,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.9510498046875,150,457.2076427936554,2550.0,0.3009143932660421,0.00043275373599802454,0.42024787902832034,0.01568447873617212,0.020802733858750984,0.221010322868824,0.0003503949975129217,0.3671543500820796,0.01408958988264203,3,3,3,3,121.97733616828918,250,1948.8380868434906,4000.0,1008.1089995117187,6.2587864875793455,20.709966049194335,1.525739091873169,2.501756680330712,1005.6762126464844,5.722111728191376,20.69386080932617,1.4574837243556977,1,15,9,15,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.0004, 0.0004, 0.0004, 0.0004]",16,False,,,17,be5514c807c34354af6352978d056879,2020-10-19_23-56-17,1603151777,148.11462879180908,2523.3371324539185,412,d83e38022e39,192.168.99.4,2523.3371324539185,0,17,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.5576331615448,150,483.7652759552002,2700.0,0.15824000000953675,0.00022985253890510647,0.30633554855982464,0.0115245406764249,0.01516088846028182,0.15824000000953675,0.00022985253890510647,0.30633554855982464,0.0115245406764249,0,0,0,0,121.54828524589539,250,2070.386372089386,4250.0,1007.1259279785156,6.257205430984497,20.706749084472655,1.5258627257347106,2.5014406710902612,1005.6762126464844,5.722111728191376,20.69386080932617,1.4574837243556977,2,16,10,16,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.0004, 0.0004, 0.0004, 0.0004]",17,False,,,18,be5514c807c34354af6352978d056879,2020-10-19_23-58-45,1603151925,148.18381690979004,2671.5209493637085,412,d83e38022e39,192.168.99.4,2671.5209493637085,0,18,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.44551658630371,150,510.2107925415039,2850.0,0.15807429949442545,0.0002244919349323027,0.30918103337287905,0.011600310529271761,0.014983054926559627,0.15807429949442545,0.0002244919349323027,0.30633554855982464,0.0115245406764249,0,0,1,1,121.73025608062744,250,2192.1166281700134,4500.0,1006.5110688476562,6.256259765625,20.698639434814453,1.5256711893081665,2.50125163980456,1005.6762126464844,5.722111728191376,20.69386080932617,1.4574837243556977,3,17,11,17,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.0004, 0.0004, 0.0004, 0.0004]",18,False,,,19,be5514c807c34354af6352978d056879,2020-10-20_00-01-14,1603152074,148.52107071876526,2820.0420200824738,412,d83e38022e39,192.168.99.4,2820.0420200824738,0,19,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.60468554496765,150,536.8154780864716,3000.0,0.23960205793380737,0.00029642512109906725,0.38002501408259076,0.013686751555651426,0.017217000932191043,0.15807429949442545,0.0002244919349323027,0.30633554855982464,0.0115245406764249,1,1,2,2,121.90830445289612,250,2314.0249326229095,4750.0,1006.2101879882813,6.254100416183472,20.69990375518799,1.525194143295288,2.500819948773496,1005.6762126464844,5.722111728191376,20.69386080932617,1.4574837243556977,4,18,12,18,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.0004, 0.0004, 0.0004, 0.0004]",19,False,,,20,be5514c807c34354af6352978d056879,2020-10-20_00-03-42,1603152222,148.5629141330719,2968.6049342155457,412,d83e38022e39,192.168.99.4,2968.6049342155457,0,20,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.810227632522583,150,563.6257057189941,3150.0,0.14076254576444625,0.00022022703516995533,0.2940267922480901,0.011306703307976325,0.014840048354704082,0.14076254576444625,0.00022022703516995533,0.2940267922480901,0.011306703307976325,0,0,0,0,121.74390387535095,250,2435.7688364982605,5000.0,1006.1439675292969,6.254186128616333,20.69547412109375,1.525479531764984,2.500837085580813,1005.6762126464844,5.722111728191376,20.69386080932617,1.4574837243556977,5,19,13,19,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.0004, 0.0004, 0.0004, 0.0004]",20,False,,,21,be5514c807c34354af6352978d056879,2020-10-20_00-06-11,1603152371,148.09207940101624,3116.697013616562,412,d83e38022e39,192.168.99.4,3116.697013616562,0,21,00009,"9_hypercubes=heat_para_10d,seed=0",2380732,26.33006525039673,150,589.9557709693909,3300.0,0.15841337551673254,0.00022404002666007728,0.308007527589798,0.011530671070019404,0.014967966684225259,0.14076254576444625,0.00022022703516995533,0.2940267922480901,0.011306703307976325,1,1,1,1,121.75354719161987,250,2557.5223836898804,5250.0,1007.194017578125,6.267959297180176,20.71148223114014,1.5265001249313355,2.5035892828457658,1005.6762126464844,5.722111728191376,20.69386080932617,1.4574837243556977,6,20,14,20,30.952998161315918,150,30.952998161315918,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
